Date,Overall Conv,Predicted Overall Conv
2021-12-05,2.94,3.110838731507561
2021-12-06,1.91,1.8313644108802825
2021-12-07,1.74,1.4235586314923736
2021-12-08,2.05,2.084054311121974
2021-12-09,1.82,1.8392200541703634
2021-12-10,1.51,1.2289472353327127
2021-12-11,1.77,1.448695595935501
2021-12-12,1.9,1.9713370294609072
2021-12-13,2.56,2.8571115703947916
2021-12-14,1.94,1.624397823397437
2021-12-15,2.58,2.4744162678677504
2021-12-16,1.81,1.2914979119237968
2021-12-17,2.06,1.8984579527588918
2021-12-18,2.68,2.4938815814319018
2021-12-19,1.83,1.5913041960363445
2021-12-20,2.21,2.095340019445001
2021-12-21,1.91,1.4823976438273174
